obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
64,Eswatini,NA,SWZ,Sub-Saharan Africa,2.453747951,8304.613326,NA,23.45499992,30,-0.476151,-0.3909011,Maintain,0,21.96109931,7.03397036,-9,0,NA,694,0,0
65,Ethiopia,Ethiopia,ETH,Sub-Saharan Africa,1.079526012,1779.084023,4.737919807,2.194999933,35,-1.498187,-0.4501761,NA,0,9.013788576,3.82316828,NA,1,78.3,736081,0,0
66,Faroe Islands,Faroe Islands,FRO,Europe & Central Asia,11.44629557,NA,NA,NA,NA,NA,NA,NA,0,28.62615471,NA,NA,NA,NA,NA,0,0
67,Fiji,Fiji,FJI,East Asia & Pacific,1.541341374,12569.21546,NA,4.362999916,58,0.5803087,0.1699192,Maintain,0,20.11511708,3.32468939,2,2,52.8,7,0,0
68,Finland,Finland,FIN,Europe & Central Asia,5.739683257,44973.7946,7.032080173,9.376000404,17,1.040587,2.275324,Raise,0,24.38441706,9.64523888,10,3,13.8,12692,0,0
69,France,France,FRA,Europe & Central Asia,12.08847938,43553.39928,NA,10.35900021,4,0.1067064,1.305666,Lower,0,23.80787761,11.46616745,9,3,NA,273117,0,0.005208218
70,French Polynesia,French Polynesia,PYF,East Asia & Pacific,10.63006606,NA,NA,13.74499989,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
71,Gabon,Gabon,GAB,Sub-Saharan Africa,15.55585953,15510.0708,NA,20.26000023,47,0.021187,-0.7141645,Raise,0,14.81639805,2.65743947,3,1,78.9,934,0,9.970062274
72,"Gambia, The",Gambia,GMB,Sub-Saharan Africa,9.670886483,2058.658146,2.160029888,9.312999725,25,0.0195886,-0.7702248,Lower,0,8.326579387,3.17612934,-5,1,76.2,7851,0,0
73,Georgia,Georgia,GEO,Europe & Central Asia,4.220248352,12605.14007,NA,16.50600052,2,-0.4660819,0.6796142,Maintain,0,14.29085015,7.93235874,7,2,36.7,1973,0,0.105370709
74,Germany,Germany,DEU,Europe & Central Asia,14.8790513,51375.08598,4.834980011,4.624000072,10.5,0.6998243,1.837888,Raise,0,19.6917566,11.17801952,10,3,18.9,316098,0,0.010924469
75,Ghana,Ghana,GHA,Sub-Saharan Africa,1.457397152,4670.431623,4.510890007,6.806000233,14,-0.0320993,-0.1888184,Lower,0,9.656949101,4.62171459,8,2,73.6,17404,0,1.416749303
76,Gibraltar,NA,GIB,Europe & Central Asia,34.34522147,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
77,Greece,Greece,GRC,Europe & Central Asia,11.34237737,28051.40002,NA,24.89699936,13,-0.2302524,-0.0766138,Lower,0,20.29702735,8.01678371,10,3,16.7,24831,0,0.004796238
78,Greenland,Greenland,GRL,Europe & Central Asia,10.69483501,NA,NA,NA,NA,1.943138,1.19055,NA,0,44.19881288,NA,NA,NA,NA,NA,0,0
79,Grenada,Grenada,GRD,Latin America & Caribbean,6.606131524,15142.61521,NA,NA,15,0.7907085,0.5560133,NA,0,NA,4.64675617,NA,NA,NA,NA,0,0
80,Guam,Guam,GUM,East Asia & Pacific,44.78853342,NA,NA,6.900000095,NA,0.8079031,1.218502,NA,0,NA,NA,NA,NA,NA,NA,0,0
81,Guatemala,Guatemala,GTM,Latin America & Caribbean,0.467187672,8125.364862,3.030329943,2.506000042,26.5,-0.6550602,-0.7331991,NA,0,11.08810874,5.85707808,8,2,51.1,222,0,0.127778473
82,Guinea,Guinea,GIN,Sub-Saharan Africa,1.811566559,2087.784046,2.517139912,4.434000015,15,-0.3869883,-0.989652,NA,0,19.50189414,5.80920601,4,1,72.7,8835,0,0
83,Guinea-Bissau,Guinea-Bissau,GNB,Sub-Saharan Africa,1.210903718,1800.068562,NA,2.604000092,8.5,-0.5182164,-1.482593,NA,0,11.32588431,8.59115314,6,2,80.8,8685,0,0
84,Guyana,Guyana,GUY,Latin America & Caribbean,2.005514382,11261.82838,5.214829922,12.00399971,18,-0.1396508,-0.6353234,Maintain,0,NA,5.36894894,7,2,69.5,12,0,0
85,Haiti,Haiti,HTI,Latin America & Caribbean,0.3690482,2941.815531,3.1572299,13.96500015,97,-0.6708382,-1.237522,Maintain,0,8.25363057,8.62852955,0,1,10.5,NA,0,0
